bus_id,route_id,timestamp,latitude,longitude,speed_kmph,heading_deg,status,occupancy,next_stop,eta_min
UP85B123,Route-1,2025-09-21 06:00:00,25.399544,81.52371,36.3,27,AT_STOP,23,Stop-7,9
UP85B123,Route-1,2025-09-21 06:01:00,25.43745,81.540979,38.4,317,IDLE,32,Stop-20,12
UP85B123,Route-1,2025-09-21 06:02:00,25.392839,81.561686,64.7,351,AT_STOP,14,Stop-18,7
UP85B123,Route-1,2025-09-21 06:03:00,25.38295,81.513947,39.8,142,IDLE,31,Stop-20,4
UP85B123,Route-1,2025-09-21 06:04:00,25.38415,81.501212,54.1,22,IN_TRANSIT,40,Stop-4,11
UP85B123,Route-1,2025-09-21 06:05:00,25.393036,81.535939,31.8,33,IDLE,32,Stop-19,12
UP85B123,Route-1,2025-09-21 06:06:00,25.376182,81.528544,28.9,206,AT_STOP,54,Stop-6,4
UP85B123,Route-1,2025-09-21 06:07:00,25.373451,81.521053,42.1,97,AT_STOP,55,Stop-4,7
UP85B123,Route-1,2025-09-21 06:08:00,25.349298,81.561844,46.6,280,IN_TRANSIT,1,Stop-2,7
UP85B123,Route-1,2025-09-21 06:09:00,25.374433,81.520735,57.4,329,AT_STOP,42,Stop-5,5
UP85B123,Route-1,2025-09-21 06:10:00,25.355261,81.510626,40.1,326,IDLE,29,Stop-18,10
UP85B123,Route-1,2025-09-21 06:11:00,25.382132,81.507218,33.9,80,AT_STOP,7,Stop-15,17
UP85B123,Route-1,2025-09-21 06:12:00,25.376109,81.497533,40.9,272,IN_TRANSIT,57,Stop-3,15
UP85B123,Route-1,2025-09-21 06:13:00,25.369748,81.565269,33.4,57,IN_TRANSIT,38,Stop-11,9
UP85B123,Route-1,2025-09-21 06:14:00,25.410169,81.55498,44.8,43,IN_TRANSIT,2,Stop-13,10
UP85B123,Route-1,2025-09-21 06:15:00,25.418455,81.538493,38.9,12,IN_TRANSIT,51,Stop-9,1
UP85B123,Route-1,2025-09-21 06:16:00,25.364953,81.533991,36.4,98,AT_STOP,11,Stop-12,0
UP85B123,Route-1,2025-09-21 06:17:00,25.386075,81.502519,46.3,332,IDLE,35,Stop-6,5
UP85B123,Route-1,2025-09-21 06:18:00,25.406649,81.519255,40.9,83,IN_TRANSIT,11,Stop-13,7
UP85B123,Route-1,2025-09-21 06:19:00,25.368179,81.477375,48.2,325,AT_STOP,16,Stop-2,0
UP19B970,Route-2,2025-09-21 06:00:00,25.236186,79.327174,49.2,307,IDLE,49,Stop-20,16
UP19B970,Route-2,2025-09-21 06:01:00,25.240537,79.353696,58.6,148,AT_STOP,12,Stop-11,6
UP19B970,Route-2,2025-09-21 06:02:00,25.267678,79.337371,41.2,277,AT_STOP,55,Stop-7,6
UP19B970,Route-2,2025-09-21 06:03:00,25.290211,79.335519,28.6,75,AT_STOP,43,Stop-2,1
UP19B970,Route-2,2025-09-21 06:04:00,25.241584,79.349844,47.8,41,IN_TRANSIT,49,Stop-7,2
UP19B970,Route-2,2025-09-21 06:05:00,25.237438,79.33415,45.1,80,IDLE,4,Stop-18,15
UP19B970,Route-2,2025-09-21 06:06:00,25.278009,79.345076,46.6,204,IN_TRANSIT,24,Stop-16,16
UP19B970,Route-2,2025-09-21 06:07:00,25.242059,79.374833,52.9,14,IDLE,33,Stop-12,1
UP19B970,Route-2,2025-09-21 06:08:00,25.239298,79.376113,36.6,343,AT_STOP,50,Stop-8,1
UP19B970,Route-2,2025-09-21 06:09:00,25.266184,79.332916,29.2,264,IDLE,4,Stop-2,10
UP19B970,Route-2,2025-09-21 06:10:00,25.283389,79.343534,15.7,107,IN_TRANSIT,29,Stop-9,7
UP19B970,Route-2,2025-09-21 06:11:00,25.267455,79.340184,37.6,353,IN_TRANSIT,25,Stop-13,6
UP19B970,Route-2,2025-09-21 06:12:00,25.277892,79.348991,39.4,294,IDLE,32,Stop-3,7
UP19B970,Route-2,2025-09-21 06:13:00,25.234526,79.34513,62.4,130,IN_TRANSIT,0,Stop-15,7
UP19B970,Route-2,2025-09-21 06:14:00,25.269944,79.358472,17.4,201,IN_TRANSIT,39,Stop-5,4
UP19B970,Route-2,2025-09-21 06:15:00,25.274793,79.36293,38.1,140,AT_STOP,57,Stop-9,6
UP19B970,Route-2,2025-09-21 06:16:00,25.27393,79.313367,33.1,214,IN_TRANSIT,41,Stop-2,0
UP19B970,Route-2,2025-09-21 06:17:00,25.243732,79.349623,37.8,79,IN_TRANSIT,8,Stop-21,5
UP19B970,Route-2,2025-09-21 06:18:00,25.286472,79.308434,38.3,228,IN_TRANSIT,7,Stop-12,14
UP19B970,Route-2,2025-09-21 06:19:00,25.264986,79.325417,30.1,233,IN_TRANSIT,10,Stop-7,11
UP28B890,Route-3,2025-09-21 06:00:00,28.856057,77.876497,50.8,165,AT_STOP,0,Stop-3,7
UP28B890,Route-3,2025-09-21 06:01:00,28.908082,77.913481,52.4,250,IN_TRANSIT,7,Stop-8,6
UP28B890,Route-3,2025-09-21 06:02:00,28.890604,77.914365,30.7,169,IN_TRANSIT,48,Stop-13,12
UP28B890,Route-3,2025-09-21 06:03:00,28.890855,77.896935,47.1,78,IN_TRANSIT,18,Stop-4,10
UP28B890,Route-3,2025-09-21 06:04:00,28.903968,77.825438,20.1,313,AT_STOP,25,Stop-11,9
UP28B890,Route-3,2025-09-21 06:05:00,28.878421,77.927379,39.7,223,AT_STOP,18,Stop-6,8
UP28B890,Route-3,2025-09-21 06:06:00,28.866886,77.88633,45.4,314,IN_TRANSIT,33,Stop-16,4
UP28B890,Route-3,2025-09-21 06:07:00,28.894038,77.901388,0.0,65,IN_TRANSIT,37,Stop-4,6
UP28B890,Route-3,2025-09-21 06:08:00,28.88349,77.89293,46.6,65,AT_STOP,31,Stop-21,15
UP28B890,Route-3,2025-09-21 06:09:00,28.919378,77.869618,40.9,346,IDLE,56,Stop-20,3
UP28B890,Route-3,2025-09-21 06:10:00,28.909606,77.895439,64.2,286,AT_STOP,54,Stop-14,9
UP28B890,Route-3,2025-09-21 06:11:00,28.867835,77.88698,48.6,12,AT_STOP,22,Stop-2,8
UP28B890,Route-3,2025-09-21 06:12:00,28.948348,77.879611,55.4,23,IDLE,50,Stop-19,11
UP28B890,Route-3,2025-09-21 06:13:00,28.894647,77.884612,22.1,301,IN_TRANSIT,9,Stop-13,5
UP28B890,Route-3,2025-09-21 06:14:00,28.900157,77.912413,32.3,173,IDLE,46,Stop-14,11
UP28B890,Route-3,2025-09-21 06:15:00,28.907083,77.865042,45.2,262,IN_TRANSIT,36,Stop-13,11
UP28B890,Route-3,2025-09-21 06:16:00,28.922729,77.895461,47.6,230,AT_STOP,9,Stop-15,10
UP28B890,Route-3,2025-09-21 06:17:00,28.897135,77.882922,42.1,119,AT_STOP,59,Stop-4,7
UP28B890,Route-3,2025-09-21 06:18:00,28.888088,77.886936,47.2,73,AT_STOP,13,Stop-19,13
UP28B890,Route-3,2025-09-21 06:19:00,28.927042,77.898043,19.5,208,IDLE,54,Stop-6,5
UP11B106,Route-4,2025-09-21 06:00:00,26.460151,79.073614,30.0,9,AT_STOP,6,Stop-21,13
UP11B106,Route-4,2025-09-21 06:01:00,26.455907,79.048377,53.3,218,IN_TRANSIT,12,Stop-14,12
UP11B106,Route-4,2025-09-21 06:02:00,26.469389,79.078725,60.6,109,AT_STOP,25,Stop-6,14
UP11B106,Route-4,2025-09-21 06:03:00,26.471159,79.08919,36.4,112,IDLE,7,Stop-6,3
UP11B106,Route-4,2025-09-21 06:04:00,26.472009,79.123219,26.9,327,AT_STOP,25,Stop-18,17
UP11B106,Route-4,2025-09-21 06:05:00,26.471902,79.110867,38.4,262,AT_STOP,50,Stop-10,3
UP11B106,Route-4,2025-09-21 06:06:00,26.46538,79.053098,44.5,187,IDLE,43,Stop-5,4
UP11B106,Route-4,2025-09-21 06:07:00,26.497721,79.078468,32.5,314,IN_TRANSIT,36,Stop-16,21
UP11B106,Route-4,2025-09-21 06:08:00,26.47348,79.089168,39.5,83,IDLE,17,Stop-8,8
UP11B106,Route-4,2025-09-21 06:09:00,26.500953,79.090267,59.5,327,IN_TRANSIT,19,Stop-6,11
UP11B106,Route-4,2025-09-21 06:10:00,26.47512,79.134801,47.6,132,AT_STOP,12,Stop-21,3
UP11B106,Route-4,2025-09-21 06:11:00,26.479007,79.114654,24.3,173,IN_TRANSIT,0,Stop-9,7
UP11B106,Route-4,2025-09-21 06:12:00,26.488398,79.105523,15.3,83,IN_TRANSIT,13,Stop-6,5
UP11B106,Route-4,2025-09-21 06:13:00,26.476367,79.094905,26.1,265,AT_STOP,44,Stop-8,5
UP11B106,Route-4,2025-09-21 06:14:00,26.422559,79.110609,20.5,56,IN_TRANSIT,1,Stop-12,6
UP11B106,Route-4,2025-09-21 06:15:00,26.473202,79.078167,33.4,333,IN_TRANSIT,28,Stop-17,15
UP11B106,Route-4,2025-09-21 06:16:00,26.469593,79.10873,35.9,280,AT_STOP,22,Stop-8,17
UP11B106,Route-4,2025-09-21 06:17:00,26.422614,79.094762,32.9,213,AT_STOP,4,Stop-14,2
UP11B106,Route-4,2025-09-21 06:18:00,26.482085,79.104424,43.2,3,IN_TRANSIT,52,Stop-3,5
UP11B106,Route-4,2025-09-21 06:19:00,26.431804,79.120416,46.2,218,AT_STOP,54,Stop-20,7
UP44B259,Route-5,2025-09-21 06:00:00,29.135299,80.554527,44.0,271,AT_STOP,54,Stop-14,9
UP44B259,Route-5,2025-09-21 06:01:00,29.139595,80.515154,39.5,332,AT_STOP,29,Stop-4,6
UP44B259,Route-5,2025-09-21 06:02:00,29.087297,80.543693,54.0,130,IDLE,23,Stop-6,7
UP44B259,Route-5,2025-09-21 06:03:00,29.106007,80.502658,50.4,221,IDLE,50,Stop-9,0
UP44B259,Route-5,2025-09-21 06:04:00,29.117958,80.550158,55.0,46,AT_STOP,22,Stop-12,2
UP44B259,Route-5,2025-09-21 06:05:00,29.135789,80.537129,46.8,222,AT_STOP,33,Stop-19,11
UP44B259,Route-5,2025-09-21 06:06:00,29.121883,80.540136,45.3,324,IDLE,11,Stop-11,5
UP44B259,Route-5,2025-09-21 06:07:00,29.126322,80.498115,44.3,174,IN_TRANSIT,6,Stop-7,12
UP44B259,Route-5,2025-09-21 06:08:00,29.102281,80.53027,38.4,282,IDLE,14,Stop-17,6
UP44B259,Route-5,2025-09-21 06:09:00,29.094568,80.495333,32.6,237,AT_STOP,19,Stop-15,3
UP44B259,Route-5,2025-09-21 06:10:00,29.103988,80.540544,38.1,272,IDLE,56,Stop-12,12
